eps_p    eps_q    p        q        eps_1    eps_2    sigma_1  sigma_2  epor     stateVar2
-0.01977 0.06200  721.1    1265.2   0.05541  -0.03759 1564.6   299.3    0.73086  0.00000 
-0.02037 0.06300  721.1    1265.2   0.05621  -0.03829 1564.6   299.3    0.73191  0.00000 
-0.02097 0.06400  721.1    1265.2   0.05701  -0.03899 1564.6   299.3    0.73295  0.00000 
-0.02158 0.06500  721.1    1265.2   0.05781  -0.03969 1564.6   299.3    0.73400  0.00000 
-0.02218 0.06600  721.1    1265.2   0.05861  -0.04039 1564.6   299.3    0.73504  0.00000 
-0.02278 0.06700  721.1    1265.2   0.05941  -0.04109 1564.6   299.3    0.73609  0.00000 
-0.02339 0.06800  721.1    1265.2   0.06020  -0.04180 1564.6   299.3    0.73713  0.00000 
-0.02399 0.06900  721.1    1265.2   0.06100  -0.04250 1564.6   299.3    0.73818  0.00000 
-0.02459 0.07000  721.1    1265.2   0.06180  -0.04320 1564.6   299.3    0.73923  0.00000 
-0.02520 0.07100  721.1    1265.2   0.06260  -0.04390 1564.6   299.3    0.74028  0.00000 
-0.02580 0.07200  721.1    1265.2   0.06340  -0.04460 1564.6   299.3    0.74133  0.00000 
-0.02640 0.07300  721.1    1265.2   0.06420  -0.04530 1564.6   299.3    0.74238  0.00000 
-0.02700 0.07400  721.1    1265.2   0.06500  -0.04600 1564.6   299.3    0.74343  0.00000 
-0.02761 0.07500  721.1    1265.2   0.06580  -0.04670 1564.6   299.3    0.74448  0.00000 
-0.02821 0.07600  721.1    1265.2   0.06660  -0.04740 1564.6   299.3    0.74553  0.00000 
-0.02881 0.07700  721.1    1265.2   0.06740  -0.04810 1564.6   299.3    0.74658  0.00000 
-0.02942 0.07800  721.1    1265.2   0.06819  -0.04881 1564.6   299.3    0.74764  0.00000 
-0.03002 0.07900  721.1    1265.2   0.06899  -0.04951 1564.6   299.3    0.74869  0.00000 
-0.03062 0.08000  721.1    1265.2   0.06979  -0.05021 1564.6   299.3    0.74975  0.00000 
