eps_p    eps_q    p        q        eps_1    eps_2    sigma_1  sigma_2  epor     stateVar2
0.00000  0.00000  200.0    0.0      0.00000  0.00000  200.0    0.0      0.75000  200.00000
0.01012  0.00100  273.8    221.4    0.00437  0.00287  421.4    200.0    0.73229  273.78378
0.01139  0.00200  277.8    233.5    0.00580  0.00280  433.5    200.0    0.73009  287.35321
0.01258  0.00300  281.7    245.2    0.00719  0.00269  445.2    200.0    0.72803  300.59664
0.01369  0.00400  285.5    256.5    0.00856  0.00256  456.5    200.0    0.72612  313.53280
0.01473  0.00500  289.1    267.3    0.00991  0.00241  467.3    200.0    0.72432  326.17615
0.01571  0.00600  292.6    277.8    0.01124  0.00224  477.8    200.0    0.72263  338.53812
0.01663  0.00700  296.0    287.9    0.01254  0.00204  487.9    200.0    0.72104  350.62798
0.01751  0.00800  299.2    297.6    0.01384  0.00184  497.6    200.0    0.71953  362.45341
0.01834  0.00900  302.4    307.1    0.01511  0.00161  507.1    200.0    0.71811  374.02097
0.01912  0.01000  305.4    316.3    0.01637  0.00137  516.3    200.0    0.71676  385.33634
0.01987  0.01100  308.4    325.2    0.01762  0.00112  525.2    200.0    0.71547  396.40461
0.02058  0.01200  311.3    333.8    0.01886  0.00086  533.8    200.0    0.71425  407.23039
0.02126  0.01300  314.1    342.2    0.02009  0.00059  542.2    200.0    0.71309  417.81796
0.02191  0.01400  316.8    350.3    0.02130  0.00030  550.3    200.0    0.71198  428.17133
0.02253  0.01500  319.4    358.2    0.02251  0.00001  558.2    200.0    0.71092  438.29436
0.02312  0.01600  321.9    365.8    0.02371  -0.00029 565.8    200.0    0.70991  448.19075
0.02368  0.01700  324.4    373.3    0.02489  -0.00061 573.3    200.0    0.70894  457.86412
0.02422  0.01800  326.8    380.5    0.02607  -0.00093 580.5    200.0    0.70802  467.31803
0.02474  0.01900  329.2    387.6    0.02725  -0.00125 587.6    200.0    0.70713  476.55599
0.02524  0.02000  331.5    394.4    0.02841  -0.00159 594.4    200.0    0.70628  485.58148
0.02572  0.02100  333.7    401.1    0.02957  -0.00193 601.1    200.0    0.70547  494.39796
0.02618  0.02200  335.8    407.5    0.03073  -0.00227 607.5    200.0    0.70469  503.00890
0.02662  0.02300  337.9    413.8    0.03187  -0.00263 613.8    200.0    0.70394  511.41773
0.02704  0.02400  340.0    419.9    0.03301  -0.00299 619.9    200.0    0.70322  519.62791
0.02744  0.02500  342.0    425.9    0.03415  -0.00335 625.9    200.0    0.70253  527.64287
0.02784  0.02600  343.9    431.6    0.03528  -0.00372 631.6    200.0    0.70186  535.46607
0.02821  0.02700  345.8    437.3    0.03640  -0.00410 637.3    200.0    0.70122  543.10094
0.02857  0.02800  347.6    442.7    0.03752  -0.00448 642.7    200.0    0.70060  550.55091
0.02892  0.02900  349.3    448.0    0.03864  -0.00486 648.0    200.0    0.70001  557.81943
0.02926  0.03000  351.1    453.2    0.03975  -0.00525 653.2    200.0    0.69944  564.90990
0.02958  0.03100  352.7    458.2    0.04086  -0.00564 658.2    200.0    0.69889  571.82574
0.02989  0.03200  354.4    463.1    0.04196  -0.00604 663.1    200.0    0.69836  578.57035
0.03020  0.03300  356.0    467.9    0.04307  -0.00643 667.9    200.0    0.69785  585.14711
0.03049  0.03400  357.5    472.5    0.04416  -0.00684 672.5    200.0    0.69735  591.55939
0.03077  0.03500  359.0    477.0    0.04526  -0.00724 677.0    200.0    0.69688  597.81051
0.03104  0.03600  360.5    481.4    0.04635  -0.00765 681.4    200.0    0.69642  603.90381
0.03130  0.03700  361.9    485.6    0.04743  -0.00807 685.6    200.0    0.69598  609.84258
0.03155  0.03800  363.3    489.8    0.04852  -0.00848 689.8    200.0    0.69555  615.63007
0.03179  0.03900  364.6    493.8    0.04960  -0.00890 693.8    200.0    0.69514  621.26952
0.03203  0.04000  365.9    497.7    0.05068  -0.00932 697.7    200.0    0.69474  626.76413
0.03225  0.04100  367.2    501.5    0.05175  -0.00975 701.5    200.0    0.69436  632.11706
0.03247  0.04200  368.4    505.2    0.05282  -0.01018 705.2    200.0    0.69398  637.33145
0.03269  0.04300  369.6    508.8    0.05390  -0.01060 708.8    200.0    0.69363  642.41037
0.03289  0.04400  370.8    512.3    0.05496  -0.01104 712.3    200.0    0.69328  647.35688
0.03309  0.04500  371.9    515.7    0.05603  -0.01147 715.7    200.0    0.69294  652.17400
0.03328  0.04600  373.0    519.0    0.05709  -0.01191 719.0    200.0    0.69262  656.86468
0.03346  0.04700  374.1    522.2    0.05815  -0.01235 722.2    200.0    0.69231  661.43184
