eps_p    eps_q    p        q        eps_1    eps_2    sigma_1  sigma_2  epor     stateVar2
0.00000  0.00000  450.0    0.0      0.00000  0.00000  450.0    0.0      0.76000  450.00000
0.01012  0.00100  617.0    500.9    0.00437  0.00287  950.9    450.0    0.74219  616.96216
0.01139  0.00200  626.1    528.3    0.00580  0.00280  978.3    450.0    0.73998  647.59626
0.01257  0.00300  634.9    554.7    0.00719  0.00269  1004.7   450.0    0.73793  677.50061
0.01367  0.00400  643.3    580.0    0.00856  0.00256  1030.0   450.0    0.73601  706.71579
0.01471  0.00500  651.5    604.4    0.00990  0.00240  1054.4   450.0    0.73420  735.27308
0.01569  0.00600  659.3    627.9    0.01123  0.00223  1077.9   450.0    0.73251  763.19724
0.01661  0.00700  666.9    650.7    0.01254  0.00204  1100.7   450.0    0.73091  790.50835
0.01748  0.00800  674.2    672.7    0.01383  0.00183  1122.7   450.0    0.72941  817.22310
0.01831  0.00900  681.4    694.1    0.01510  0.00160  1144.1   450.0    0.72798  843.35574
0.01909  0.01000  688.3    714.8    0.01636  0.00136  1164.8   450.0    0.72662  868.91867
0.01983  0.01100  694.9    734.8    0.01761  0.00111  1184.8   450.0    0.72534  893.92299
0.02054  0.01200  701.4    754.2    0.01885  0.00085  1204.2   450.0    0.72412  918.37882
0.02122  0.01300  707.7    773.1    0.02007  0.00057  1223.1   450.0    0.72295  942.29556
0.02186  0.01400  713.8    791.4    0.02129  0.00029  1241.4   450.0    0.72184  965.68211
0.02248  0.01500  719.7    809.2    0.02249  -0.00001 1259.2   450.0    0.72078  988.54698
0.02307  0.01600  725.5    826.5    0.02369  -0.00031 1276.5   450.0    0.71977  1010.89843
0.02363  0.01700  731.1    843.3    0.02488  -0.00062 1293.3   450.0    0.71880  1032.74452
0.02417  0.01800  736.5    859.6    0.02606  -0.00094 1309.6   450.0    0.71787  1054.09322
0.02468  0.01900  741.8    875.5    0.02723  -0.00127 1325.5   450.0    0.71699  1074.95240
0.02518  0.02000  747.0    890.9    0.02839  -0.00161 1340.9   450.0    0.71614  1095.32988
0.02565  0.02100  752.0    905.9    0.02955  -0.00195 1355.9   450.0    0.71532  1115.23348
0.02611  0.02200  756.8    920.4    0.03070  -0.00230 1370.4   450.0    0.71454  1134.67099
0.02655  0.02300  761.5    934.6    0.03185  -0.00265 1384.6   450.0    0.71379  1153.65019
0.02697  0.02400  766.1    948.4    0.03299  -0.00301 1398.4   450.0    0.71307  1172.17889
0.02737  0.02500  770.6    961.8    0.03412  -0.00338 1411.8   450.0    0.71238  1190.26490
0.02776  0.02600  774.9    974.8    0.03525  -0.00375 1424.8   450.0    0.71171  1207.91601
0.02814  0.02700  779.2    987.5    0.03638  -0.00412 1437.5   450.0    0.71107  1225.14004
0.02850  0.02800  783.3    999.8    0.03750  -0.00450 1449.8   450.0    0.71046  1241.94479
0.02884  0.02900  787.2    1011.7   0.03861  -0.00489 1461.7   450.0    0.70986  1258.33805
0.02918  0.03000  791.1    1023.4   0.03973  -0.00527 1473.4   450.0    0.70929  1274.32760
0.02950  0.03100  794.9    1034.7   0.04083  -0.00567 1484.7   450.0    0.70874  1289.92121
0.02981  0.03200  798.6    1045.7   0.04194  -0.00606 1495.7   450.0    0.70821  1305.12660
0.03011  0.03300  802.1    1056.4   0.04304  -0.00646 1506.4   450.0    0.70770  1319.95147
0.03040  0.03400  805.6    1066.8   0.04413  -0.00687 1516.8   450.0    0.70721  1334.40348
0.03067  0.03500  809.0    1076.9   0.04522  -0.00728 1526.9   450.0    0.70673  1348.49023
0.03094  0.03600  812.3    1086.8   0.04631  -0.00769 1536.8   450.0    0.70628  1362.21929
0.03120  0.03700  815.5    1096.4   0.04740  -0.00810 1546.4   450.0    0.70583  1375.59815
0.03145  0.03800  818.6    1105.7   0.04848  -0.00852 1555.7   450.0    0.70541  1388.63425
0.03169  0.03900  821.6    1114.7   0.04956  -0.00894 1564.7   450.0    0.70500  1401.33494
0.03193  0.04000  824.5    1123.5   0.05064  -0.00936 1573.5   450.0    0.70460  1413.70752
0.03215  0.04100  827.4    1132.1   0.05172  -0.00978 1582.1   450.0    0.70421  1425.75919
0.03237  0.04200  830.1    1140.4   0.05279  -0.01021 1590.4   450.0    0.70384  1437.49708
0.03258  0.04300  832.8    1148.4   0.05386  -0.01064 1598.4   450.0    0.70348  1448.92822
0.03278  0.04400  835.4    1156.3   0.05493  -0.01107 1606.3   450.0    0.70314  1460.05958
0.03298  0.04500  838.0    1163.9   0.05599  -0.01151 1613.9   450.0    0.70280  1470.89799
0.03317  0.04600  840.5    1171.4   0.05706  -0.01194 1621.4   450.0    0.70248  1481.45022
0.03335  0.04700  842.9    1178.6   0.05812  -0.01238 1628.6   450.0    0.70217  1491.72292
0.03353  0.04800  845.2    1185.6   0.05918  -0.01282 1635.6   450.0    0.70187  1501.72265
0.03370  0.04900  847.5    1192.4   0.06023  -0.01327 1642.4   450.0    0.70157  1511.45586
0.03387  0.05000  849.7    1199.0   0.06129  -0.01371 1649.0   450.0    0.70129  1520.92891
0.03403  0.05100  851.8    1205.5   0.06234  -0.01416 1655.5   450.0    0.70102  1530.14803
0.03418  0.05200  853.9    1211.8   0.06339  -0.01461 1661.8   450.0    0.70075  1539.11935
0.03433  0.05300  855.9    1217.8   0.06444  -0.01506 1667.8   450.0    0.70050  1547.84892
0.03448  0.05400  857.9    1223.8   0.06549  -0.01551 1673.8   450.0    0.70025  1556.34263
0.03462  0.05500  859.8    1229.5   0.06654  -0.01596 1679.5   450.0    0.70001  1564.60631
0.03476  0.05600  861.7    1235.1   0.06759  -0.01641 1685.1   450.0    0.69978  1572.64564
0.03489  0.05700  863.5    1240.5   0.06863  -0.01687 1690.5   450.0    0.69956  1580.46623
0.03502  0.05800  865.3    1245.8   0.06967  -0.01733 1695.8   450.0    0.69934  1588.07354
0.03514  0.05900  867.0    1250.9   0.07071  -0.01779 1700.9   450.0    0.69913  1595.47295
0.03526  0.06000  868.6    1255.9   0.07175  -0.01825 1705.9   450.0    0.69892  1602.66973
0.03537  0.06100  870.2    1260.7   0.07279  -0.01871 1710.7   450.0    0.69873  1609.66902
0.03549  0.06200  871.8    1265.4   0.07383  -0.01917 1715.4   450.0    0.69854  1616.47588
