eps_p    eps_q    p        q        eps_1    eps_2    sigma_1  sigma_2  epor     stateVar2
0.00000  0.00000  300.0    0.0      0.00000  0.00000  300.0    0.0      0.78000  300.00000
0.01434  0.00100  412.6    337.7    0.00578  0.00428  637.7    300.0    0.75448  412.57297
0.01560  0.00200  416.8    350.3    0.00720  0.00420  650.3    300.0    0.75227  426.72521
0.01680  0.00300  420.9    362.6    0.00860  0.00410  662.6    300.0    0.75017  440.63666
0.01794  0.00400  424.8    374.5    0.00998  0.00398  674.5    300.0    0.74817  454.31718
0.01903  0.00500  428.7    386.1    0.01134  0.00384  686.1    300.0    0.74625  467.77505
0.02008  0.00600  432.5    397.4    0.01269  0.00369  697.4    300.0    0.74443  481.01727
0.02108  0.00700  436.1    408.4    0.01403  0.00353  708.4    300.0    0.74268  494.04985
0.02205  0.00800  439.7    419.2    0.01535  0.00335  719.2    300.0    0.74100  506.87801
0.02297  0.00900  443.2    429.7    0.01666  0.00316  729.7    300.0    0.73939  519.50633
0.02386  0.01000  446.6    439.9    0.01795  0.00295  739.9    300.0    0.73784  531.93888
0.02471  0.01100  450.0    450.0    0.01924  0.00274  750.0    300.0    0.73636  544.17932
0.02554  0.01200  453.3    459.8    0.02051  0.00251  759.8    300.0    0.73493  556.23097
0.02633  0.01300  456.5    469.4    0.02178  0.00228  769.4    300.0    0.73355  568.09687
0.02710  0.01400  459.6    478.8    0.02303  0.00203  778.8    300.0    0.73222  579.77985
0.02784  0.01500  462.7    488.0    0.02428  0.00178  788.0    300.0    0.73093  591.28254
0.02856  0.01600  465.7    497.0    0.02552  0.00152  797.0    300.0    0.72969  602.60743
0.02925  0.01700  468.6    505.8    0.02675  0.00125  805.8    300.0    0.72850  613.75688
0.02992  0.01800  471.5    514.4    0.02797  0.00097  814.4    300.0    0.72734  624.73316
0.03057  0.01900  474.3    522.9    0.02919  0.00069  822.9    300.0    0.72622  635.53844
0.03120  0.02000  477.1    531.2    0.03040  0.00040  831.2    300.0    0.72514  646.17484
0.03180  0.02100  479.8    539.3    0.03160  0.00010  839.3    300.0    0.72409  656.64442
0.03239  0.02200  482.4    547.3    0.03280  -0.00020 847.3    300.0    0.72307  666.94918
0.03296  0.02300  485.0    555.1    0.03399  -0.00051 855.1    300.0    0.72209  677.09110
0.03352  0.02400  487.6    562.7    0.03517  -0.00083 862.7    300.0    0.72113  687.07212
0.03406  0.02500  490.1    570.2    0.03635  -0.00115 870.2    300.0    0.72021  696.89416
0.03458  0.02600  492.5    577.6    0.03753  -0.00147 877.6    300.0    0.71931  706.55911
0.03509  0.02700  494.9    584.8    0.03870  -0.00180 884.8    300.0    0.71843  716.06886
0.03558  0.02800  497.3    591.8    0.03986  -0.00214 891.8    300.0    0.71759  725.42526
0.03606  0.02900  499.6    598.8    0.04102  -0.00248 898.8    300.0    0.71676  734.63018
0.03652  0.03000  501.9    605.6    0.04217  -0.00283 905.6    300.0    0.71597  743.68546
0.03698  0.03100  504.1    612.2    0.04333  -0.00317 912.2    300.0    0.71519  752.59293
0.03742  0.03200  506.3    618.8    0.04447  -0.00353 918.8    300.0    0.71443  761.35443
0.03785  0.03300  508.4    625.2    0.04562  -0.00388 925.2    300.0    0.71370  769.97176
0.03826  0.03400  510.5    631.5    0.04675  -0.00425 931.5    300.0    0.71299  778.44676
0.03867  0.03500  512.5    637.6    0.04789  -0.00461 937.6    300.0    0.71229  786.78121
0.03906  0.03600  514.6    643.7    0.04902  -0.00498 943.7    300.0    0.71161  794.97694
0.03945  0.03700  516.5    649.6    0.05015  -0.00535 949.6    300.0    0.71096  803.03573
0.03982  0.03800  518.5    655.4    0.05127  -0.00573 955.4    300.0    0.71032  810.95937
0.04019  0.03900  520.4    661.1    0.05240  -0.00610 961.1    300.0    0.70969  818.74965
0.04054  0.04000  522.2    666.7    0.05351  -0.00649 966.7    300.0    0.70909  826.40835
0.04089  0.04100  524.1    672.2    0.05463  -0.00687 972.2    300.0    0.70849  833.93723
0.04122  0.04200  525.9    677.6    0.05574  -0.00726 977.6    300.0    0.70792  841.33807
0.04155  0.04300  527.6    682.9    0.05685  -0.00765 982.9    300.0    0.70736  848.61260
0.04187  0.04400  529.4    688.1    0.05796  -0.00804 988.1    300.0    0.70681  855.76259
0.04219  0.04500  531.1    693.2    0.05906  -0.00844 993.2    300.0    0.70628  862.78976
0.04249  0.04600  532.7    698.2    0.06016  -0.00884 998.2    300.0    0.70576  869.69585
0.04279  0.04700  534.4    703.1    0.06126  -0.00924 1003.1   300.0    0.70525  876.48257
0.04308  0.04800  536.0    707.9    0.06236  -0.00964 1007.9   300.0    0.70475  883.15164
0.04336  0.04900  537.5    712.6    0.06345  -0.01005 1012.6   300.0    0.70427  889.70475
0.04364  0.05000  539.1    717.2    0.06455  -0.01045 1017.2   300.0    0.70380  896.14359
0.04391  0.05100  540.6    721.7    0.06564  -0.01086 1021.7   300.0    0.70334  902.46983
0.04417  0.05200  542.1    726.2    0.06672  -0.01128 1026.2   300.0    0.70290  908.68514
0.04443  0.05300  543.5    730.5    0.06781  -0.01169 1030.5   300.0    0.70246  914.79117
0.04468  0.05400  544.9    734.8    0.06889  -0.01211 1034.8   300.0    0.70203  920.78956
0.04492  0.05500  546.3    739.0    0.06997  -0.01253 1039.0   300.0    0.70162  926.68192
0.04516  0.05600  547.7    743.1    0.07105  -0.01295 1043.1   300.0    0.70121  932.46988
0.04539  0.05700  549.1    747.2    0.07213  -0.01337 1047.2   300.0    0.70081  938.15502
0.04562  0.05800  550.4    751.1    0.07321  -0.01379 1051.1   300.0    0.70043  943.73894
0.04584  0.05900  551.7    755.0    0.07428  -0.01422 1055.0   300.0    0.70005  949.22320
0.04606  0.06000  552.9    758.8    0.07535  -0.01465 1058.8   300.0    0.69968  954.60936
0.04627  0.06100  554.2    762.6    0.07642  -0.01508 1062.6   300.0    0.69932  959.89894
0.04648  0.06200  555.4    766.2    0.07749  -0.01551 1066.2   300.0    0.69897  965.09348
0.04668  0.06300  556.6    769.8    0.07856  -0.01594 1069.8   300.0    0.69862  970.19449
0.04688  0.06400  557.8    773.4    0.07963  -0.01637 1073.4   300.0    0.69829  975.20345
0.04707  0.06500  558.9    776.8    0.08069  -0.01681 1076.8   300.0    0.69796  980.12184
0.04726  0.06600  560.1    780.2    0.08175  -0.01725 1080.2   300.0    0.69764  984.95113
0.04744  0.06700  561.2    783.5    0.08281  -0.01769 1083.5   300.0    0.69733  989.69275
0.04762  0.06800  562.3    786.8    0.08387  -0.01813 1086.8   300.0    0.69702  994.34813
0.04780  0.06900  563.3    790.0    0.08493  -0.01857 1090.0   300.0    0.69672  998.91868
0.04797  0.07000  564.4    793.1    0.08599  -0.01901 1093.1   300.0    0.69643  1003.40579
0.04814  0.07100  565.4    796.2    0.08705  -0.01945 1096.2   300.0    0.69614  1007.81085
