eps_p    eps_q    p        q        eps_1    eps_2    sigma_1  sigma_2  epor     stateVar2
0.04793  0.06700  558.8    776.3    0.08298  -0.01752 1076.3   300.0    0.66791  982.72407
0.04811  0.06800  559.9    779.6    0.08404  -0.01796 1079.6   300.0    0.66761  987.38298
0.04829  0.06900  560.9    782.8    0.08510  -0.01840 1082.8   300.0    0.66730  991.95849
0.04847  0.07000  562.0    786.0    0.08616  -0.01884 1086.0   300.0    0.66701  996.45196
0.04864  0.07100  563.0    789.1    0.08721  -0.01929 1089.1   300.0    0.66672  1000.86471
0.04881  0.07200  564.0    792.1    0.08827  -0.01973 1092.1   300.0    0.66644  1005.19805
0.04898  0.07300  565.0    795.1    0.08933  -0.02017 1095.1   300.0    0.66616  1009.45328
0.04914  0.07400  566.0    798.0    0.09038  -0.02062 1098.0   300.0    0.66589  1013.63169
0.04930  0.07500  567.0    800.9    0.09143  -0.02107 1100.9   300.0    0.66563  1017.73455
0.04945  0.07600  567.9    803.7    0.09248  -0.02152 1103.7   300.0    0.66537  1021.76309
0.04960  0.07700  568.8    806.5    0.09353  -0.02197 1106.5   300.0    0.66512  1025.71857
0.04975  0.07800  569.7    809.2    0.09458  -0.02242 1109.2   300.0    0.66488  1029.60219
0.04990  0.07900  570.6    811.9    0.09563  -0.02287 1111.9   300.0    0.66463  1033.41515
0.05004  0.08000  571.5    814.5    0.09668  -0.02332 1114.5   300.0    0.66440  1037.15865
0.05018  0.08100  572.3    817.0    0.09773  -0.02377 1117.0   300.0    0.66417  1040.83385
0.05031  0.08200  573.2    819.5    0.09877  -0.02423 1119.5   300.0    0.66394  1044.44191
0.05044  0.08300  574.0    822.0    0.09981  -0.02469 1122.0   300.0    0.66372  1047.98396
0.05057  0.08400  574.8    824.4    0.10086  -0.02514 1124.4   300.0    0.66350  1051.46114
0.05070  0.08500  575.6    826.8    0.10190  -0.02560 1126.8   300.0    0.66329  1054.87454
0.05083  0.08600  576.4    829.1    0.10294  -0.02606 1129.1   300.0    0.66309  1058.22525
0.05095  0.08700  577.1    831.4    0.10398  -0.02652 1131.4   300.0    0.66288  1061.51436
0.05107  0.08800  577.9    833.6    0.10502  -0.02698 1133.6   300.0    0.66269  1064.74292
0.05118  0.08900  578.6    835.8    0.10606  -0.02744 1135.8   300.0    0.66249  1067.91198
0.05130  0.09000  579.3    838.0    0.10710  -0.02790 1138.0   300.0    0.66230  1071.02257
0.05141  0.09100  580.0    840.1    0.10814  -0.02836 1140.1   300.0    0.66212  1074.07570
0.05152  0.09200  580.7    842.2    0.10917  -0.02883 1142.2   300.0    0.66194  1077.07237
0.05162  0.09300  581.4    844.2    0.11021  -0.02929 1144.2   300.0    0.66176  1080.01357
0.05173  0.09400  582.1    846.2    0.11124  -0.02976 1146.2   300.0    0.66158  1082.90026
0.05183  0.09500  582.7    848.1    0.11228  -0.03022 1148.1   300.0    0.66141  1085.73340
0.05193  0.09600  583.4    850.1    0.11331  -0.03069 1150.1   300.0    0.66125  1088.51394
0.05203  0.09700  584.0    851.9    0.11434  -0.03116 1151.9   300.0    0.66108  1091.24279
0.05213  0.09800  584.6    853.8    0.11538  -0.03162 1153.8   300.0    0.66092  1093.92087
0.05222  0.09900  585.2    855.6    0.11641  -0.03209 1155.6   300.0    0.66077  1096.54908
0.05231  0.10000  585.8    857.4    0.11744  -0.03256 1157.4   300.0    0.66061  1099.12830
0.05240  0.10100  586.4    859.1    0.11847  -0.03303 1159.1   300.0    0.66046  1101.65940
0.05249  0.10200  586.9    860.8    0.11950  -0.03350 1160.8   300.0    0.66032  1104.14323
0.05258  0.10300  587.5    862.5    0.12053  -0.03397 1162.5   300.0    0.66017  1106.58065
0.05266  0.10400  588.0    864.1    0.12155  -0.03445 1164.1   300.0    0.66003  1108.97247
0.05275  0.10500  588.6    865.8    0.12258  -0.03492 1165.8   300.0    0.65989  1111.31952
0.05283  0.10600  589.1    867.3    0.12361  -0.03539 1167.3   300.0    0.65976  1113.62259
0.05291  0.10700  589.6    868.9    0.12464  -0.03586 1168.9   300.0    0.65963  1115.88248
0.05299  0.10800  590.1    870.4    0.12566  -0.03634 1170.4   300.0    0.65950  1118.09996
0.05306  0.10900  590.6    871.9    0.12669  -0.03681 1171.9   300.0    0.65937  1120.27580
0.05314  0.11000  591.1    873.4    0.12771  -0.03729 1173.4   300.0    0.65925  1122.41075
0.05321  0.11100  591.6    874.8    0.12874  -0.03776 1174.8   300.0    0.65912  1124.50555
0.05328  0.11200  592.1    876.2    0.12976  -0.03824 1176.2   300.0    0.65901  1126.56092
0.05335  0.11300  592.5    877.6    0.13078  -0.03872 1177.6   300.0    0.65889  1128.57758
0.05342  0.11400  593.0    878.9    0.13181  -0.03919 1178.9   300.0    0.65877  1130.55624
0.05349  0.11500  593.4    880.3    0.13283  -0.03967 1180.3   300.0    0.65866  1132.49758
0.05356  0.11600  593.9    881.6    0.13385  -0.04015 1181.6   300.0    0.65855  1134.40228
0.05362  0.11700  594.3    882.9    0.13487  -0.04063 1182.9   300.0    0.65845  1136.27102
0.05368  0.11800  594.7    884.1    0.13589  -0.04111 1184.1   300.0    0.65834  1138.10445
0.05375  0.11900  595.1    885.3    0.13692  -0.04158 1185.3   300.0    0.65824  1139.90321
0.05381  0.12000  595.5    886.5    0.13794  -0.04206 1186.5   300.0    0.65814  1141.66794
0.05387  0.12100  595.9    887.7    0.13896  -0.04254 1187.7   300.0    0.65804  1143.39927
