eps_p    eps_q    p        q        eps_1    eps_2    sigma_1  sigma_2  epor     stateVar2
0.00000  0.00000  150.0    0.0      0.00000  0.00000  150.0    0.0      0.71000  150.00000
0.01012  0.00100  204.1    162.2    0.00437  0.00287  312.2    150.0    0.69270  204.07297
0.01141  0.00200  207.1    171.3    0.00580  0.00280  321.3    150.0    0.69051  214.11314
0.01262  0.00300  210.0    180.1    0.00721  0.00271  330.1    150.0    0.68847  223.90365
0.01374  0.00400  212.8    188.5    0.00858  0.00258  338.5    150.0    0.68657  233.46075
0.01480  0.00500  215.5    196.6    0.00993  0.00243  346.6    150.0    0.68479  242.79694
0.01580  0.00600  218.1    204.4    0.01127  0.00227  354.4    150.0    0.68311  251.92207
0.01674  0.00700  220.6    211.9    0.01258  0.00208  361.9    150.0    0.68153  260.84411
0.01762  0.00800  223.1    219.2    0.01387  0.00187  369.2    150.0    0.68003  269.56966
0.01846  0.00900  225.4    226.2    0.01515  0.00165  376.2    150.0    0.67862  278.10427
0.01926  0.01000  227.7    233.0    0.01642  0.00142  383.0    150.0    0.67728  286.45277
0.02002  0.01100  229.9    239.6    0.01767  0.00117  389.6    150.0    0.67601  294.61938
0.02075  0.01200  232.0    246.1    0.01892  0.00092  396.1    150.0    0.67479  302.60791
0.02144  0.01300  234.1    252.3    0.02015  0.00065  402.3    150.0    0.67364  310.42186
0.02209  0.01400  236.1    258.3    0.02136  0.00036  408.3    150.0    0.67254  318.06446
0.02272  0.01500  238.1    264.2    0.02257  0.00007  414.2    150.0    0.67148  325.53877
0.02333  0.01600  240.0    269.9    0.02378  -0.00022 419.9    150.0    0.67048  332.84769
0.02390  0.01700  241.8    275.5    0.02497  -0.00053 425.5    150.0    0.66952  339.99404
0.02445  0.01800  243.6    280.8    0.02615  -0.00085 430.8    150.0    0.66860  346.98055
0.02498  0.01900  245.4    286.1    0.02733  -0.00117 436.1    150.0    0.66771  353.80987
0.02549  0.02000  247.1    291.2    0.02850  -0.00150 441.2    150.0    0.66687  360.48464
0.02598  0.02100  248.7    296.1    0.02966  -0.00184 446.1    150.0    0.66606  367.00744
0.02644  0.02200  250.3    300.9    0.03081  -0.00219 450.9    150.0    0.66528  373.38084
0.02689  0.02300  251.9    305.6    0.03196  -0.00254 455.6    150.0    0.66453  379.60738
0.02732  0.02400  253.4    310.2    0.03311  -0.00289 460.2    150.0    0.66381  385.68959
0.02774  0.02500  254.9    314.6    0.03425  -0.00325 464.6    150.0    0.66312  391.62998
0.02814  0.02600  256.3    318.9    0.03538  -0.00362 468.9    150.0    0.66245  397.43105
0.02852  0.02700  257.7    323.1    0.03651  -0.00399 473.1    150.0    0.66181  403.09531
0.02890  0.02800  259.1    327.2    0.03763  -0.00437 477.2    150.0    0.66120  408.62524
0.02925  0.02900  260.4    331.2    0.03875  -0.00475 481.2    150.0    0.66060  414.02330
0.02960  0.03000  261.7    335.0    0.03987  -0.00513 485.0    150.0    0.66003  419.29197
0.02993  0.03100  262.9    338.8    0.04098  -0.00552 488.8    150.0    0.65948  424.43368
0.03025  0.03200  264.2    342.5    0.04208  -0.00592 492.5    150.0    0.65895  429.45089
0.03056  0.03300  265.3    346.0    0.04319  -0.00631 496.0    150.0    0.65844  434.34600
0.03086  0.03400  266.5    349.5    0.04429  -0.00671 499.5    150.0    0.65794  439.12143
0.03114  0.03500  267.6    352.9    0.04538  -0.00712 502.9    150.0    0.65746  443.77956
0.03142  0.03600  268.7    356.1    0.04647  -0.00753 506.1    150.0    0.65700  448.32277
0.03169  0.03700  269.8    359.3    0.04756  -0.00794 509.3    150.0    0.65656  452.75341
0.03195  0.03800  270.8    362.4    0.04865  -0.00835 512.4    150.0    0.65613  457.07380
0.03220  0.03900  271.8    365.5    0.04973  -0.00877 515.5    150.0    0.65572  461.28624
0.03244  0.04000  272.8    368.4    0.05081  -0.00919 518.4    150.0    0.65531  465.39303
0.03268  0.04100  273.7    371.2    0.05189  -0.00961 521.2    150.0    0.65493  469.39642
0.03290  0.04200  274.7    374.0    0.05297  -0.01003 524.0    150.0    0.65455  473.29864
0.03312  0.04300  275.6    376.7    0.05404  -0.01046 526.7    150.0    0.65419  477.10190
0.03333  0.04400  276.5    379.4    0.05511  -0.01089 529.4    150.0    0.65384  480.80836
0.03354  0.04500  277.3    381.9    0.05618  -0.01132 531.9    150.0    0.65350  484.42019
0.03374  0.04600  278.1    384.4    0.05725  -0.01175 534.4    150.0    0.65317  487.93948
0.03393  0.04700  278.9    386.8    0.05831  -0.01219 536.8    150.0    0.65286  491.36834
0.03411  0.04800  279.7    389.2    0.05937  -0.01263 539.2    150.0    0.65255  494.70881
0.03429  0.04900  280.5    391.5    0.06043  -0.01307 541.5    150.0    0.65226  497.96293
0.03447  0.05000  281.2    393.7    0.06149  -0.01351 543.7    150.0    0.65197  501.13268
0.03463  0.05100  282.0    395.9    0.06254  -0.01396 545.9    150.0    0.65169  504.22003
0.03480  0.05200  282.7    398.0    0.06360  -0.01440 548.0    150.0    0.65142  507.22690
0.03495  0.05300  283.4    400.1    0.06465  -0.01485 550.1    150.0    0.65116  510.15519
0.03511  0.05400  284.0    402.1    0.06570  -0.01530 552.1    150.0    0.65091  513.00677
0.03526  0.05500  284.7    404.0    0.06675  -0.01575 554.0    150.0    0.65066  515.78345
0.03540  0.05600  285.3    405.9    0.06780  -0.01620 555.9    150.0    0.65043  518.48704
0.03554  0.05700  285.9    407.7    0.06885  -0.01665 557.7    150.0    0.65020  521.11930
0.03567  0.05800  286.5    409.5    0.06989  -0.01711 559.5    150.0    0.64998  523.68195
0.03580  0.05900  287.1    411.2    0.07093  -0.01757 561.2    150.0    0.64976  526.17670
0.03593  0.06000  287.6    412.9    0.07198  -0.01802 562.9    150.0    0.64955  528.60521
0.03605  0.06100  288.2    414.6    0.07302  -0.01848 564.6    150.0    0.64935  530.96910
0.03617  0.06200  288.7    416.2    0.07406  -0.01894 566.2    150.0    0.64916  533.26998
0.03628  0.06300  289.2    417.7    0.07509  -0.01941 567.7    150.0    0.64897  535.50942
0.03640  0.06400  289.7    419.2    0.07613  -0.01987 569.2    150.0    0.64878  537.68893
0.03650  0.06500  290.2    420.7    0.07717  -0.02033 570.7    150.0    0.64861  539.81003
0.03661  0.06600  290.7    422.1    0.07820  -0.02080 572.1    150.0    0.64843  541.87418
0.03671  0.06700  291.2    423.5    0.07924  -0.02126 573.5    150.0    0.64827  543.88282
0.03681  0.06800  291.6    424.9    0.08027  -0.02173 574.9    150.0    0.64810  545.83736
0.03690  0.06900  292.1    426.2    0.08130  -0.02220 576.2    150.0    0.64795  547.73917
