eps_p    eps_q    p        q        eps_1    eps_2    sigma_1  sigma_2  epor     stateVar2
0.04719  0.06400  834.3    1152.8   0.07973  -0.01627 1602.8   450.0    0.67868  1455.84478
0.04738  0.06500  836.0    1158.0   0.08079  -0.01671 1608.0   450.0    0.67835  1463.22153
0.04758  0.06600  837.7    1163.1   0.08186  -0.01714 1613.1   450.0    0.67803  1470.46620
0.04776  0.06700  839.4    1168.1   0.08292  -0.01758 1618.1   450.0    0.67772  1477.58090
0.04795  0.06800  841.0    1173.0   0.08398  -0.01802 1623.0   450.0    0.67741  1484.56771
0.04813  0.06900  842.6    1177.8   0.08504  -0.01846 1627.8   450.0    0.67711  1491.42872
0.04830  0.07000  844.2    1182.6   0.08610  -0.01890 1632.6   450.0    0.67682  1498.16595
0.04847  0.07100  845.7    1187.2   0.08716  -0.01934 1637.2   450.0    0.67653  1504.78143
0.04864  0.07200  847.3    1191.8   0.08821  -0.01979 1641.8   450.0    0.67625  1511.27715
0.04881  0.07300  848.7    1196.2   0.08927  -0.02023 1646.2   450.0    0.67597  1517.65509
0.04897  0.07400  850.2    1200.6   0.09032  -0.02068 1650.6   450.0    0.67570  1523.91719
0.04912  0.07500  851.6    1204.9   0.09137  -0.02113 1654.9   450.0    0.67544  1530.06536
0.04928  0.07600  853.0    1209.1   0.09243  -0.02157 1659.1   450.0    0.67518  1536.10152
0.04943  0.07700  854.4    1213.2   0.09348  -0.02202 1663.2   450.0    0.67493  1542.02752
0.04957  0.07800  855.8    1217.3   0.09452  -0.02248 1667.3   450.0    0.67469  1547.84521
0.04972  0.07900  857.1    1221.3   0.09557  -0.02293 1671.3   450.0    0.67445  1553.55643
0.04986  0.08000  858.4    1225.2   0.09662  -0.02338 1675.2   450.0    0.67421  1559.16296
0.04999  0.08100  859.7    1229.0   0.09766  -0.02384 1679.0   450.0    0.67398  1564.66659
0.05013  0.08200  860.9    1232.8   0.09871  -0.02429 1682.8   450.0    0.67376  1570.06906
0.05026  0.08300  862.1    1236.4   0.09975  -0.02475 1686.4   450.0    0.67354  1575.37210
0.05039  0.08400  863.4    1240.1   0.10080  -0.02520 1690.1   450.0    0.67332  1580.57741
0.05051  0.08500  864.5    1243.6   0.10184  -0.02566 1693.6   450.0    0.67311  1585.68666
0.05064  0.08600  865.7    1247.1   0.10288  -0.02612 1697.1   450.0    0.67291  1590.70152
0.05076  0.08700  866.8    1250.5   0.10392  -0.02658 1700.5   450.0    0.67271  1595.62361
0.05087  0.08800  867.9    1253.8   0.10496  -0.02704 1703.8   450.0    0.67251  1600.45454
0.05099  0.08900  869.0    1257.1   0.10600  -0.02750 1707.1   450.0    0.67232  1605.19589
0.05110  0.09000  870.1    1260.3   0.10703  -0.02797 1710.3   450.0    0.67213  1609.84923
0.05121  0.09100  871.2    1263.5   0.10807  -0.02843 1713.5   450.0    0.67194  1614.41608
0.05132  0.09200  872.2    1266.6   0.10911  -0.02889 1716.6   450.0    0.67176  1618.89797
0.05143  0.09300  873.2    1269.6   0.11014  -0.02936 1719.6   450.0    0.67158  1623.29638
0.05153  0.09400  874.2    1272.6   0.11118  -0.02982 1722.6   450.0    0.67141  1627.61279
0.05163  0.09500  875.2    1275.5   0.11221  -0.03029 1725.5   450.0    0.67124  1631.84863
0.05173  0.09600  876.1    1278.4   0.11324  -0.03076 1728.4   450.0    0.67108  1636.00534
0.05183  0.09700  877.1    1281.2   0.11428  -0.03122 1731.2   450.0    0.67091  1640.08431
0.05192  0.09800  878.0    1284.0   0.11531  -0.03169 1734.0   450.0    0.67075  1644.08692
0.05202  0.09900  878.9    1286.7   0.11634  -0.03216 1736.7   450.0    0.67060  1648.01454
0.05211  0.10000  879.8    1289.3   0.11737  -0.03263 1739.3   450.0    0.67045  1651.86851
0.05220  0.10100  880.6    1291.9   0.11840  -0.03310 1741.9   450.0    0.67030  1655.65013
0.05228  0.10200  881.5    1294.5   0.11943  -0.03357 1744.5   450.0    0.67015  1659.36070
0.05237  0.10300  882.3    1297.0   0.12046  -0.03404 1747.0   450.0    0.67001  1663.00150
0.05245  0.10400  883.1    1299.4   0.12148  -0.03452 1749.4   450.0    0.66987  1666.57378
0.05254  0.10500  883.9    1301.8   0.12251  -0.03499 1751.8   450.0    0.66973  1670.07877
0.05262  0.10600  884.7    1304.2   0.12354  -0.03546 1754.2   450.0    0.66960  1673.51770
0.05270  0.10700  885.5    1306.5   0.12457  -0.03593 1756.5   450.0    0.66946  1676.89175
0.05277  0.10800  886.3    1308.8   0.12559  -0.03641 1758.8   450.0    0.66934  1680.20209
0.05285  0.10900  887.0    1311.0   0.12662  -0.03688 1761.0   450.0    0.66921  1683.44989
0.05292  0.11000  887.7    1313.2   0.12764  -0.03736 1763.2   450.0    0.66909  1686.63628
0.05299  0.11100  888.4    1315.3   0.12866  -0.03784 1765.3   450.0    0.66897  1689.76238
0.05307  0.11200  889.1    1317.4   0.12969  -0.03831 1767.4   450.0    0.66885  1692.82928
0.05313  0.11300  889.8    1319.5   0.13071  -0.03879 1769.5   450.0    0.66873  1695.83807
0.05320  0.11400  890.5    1321.5   0.13173  -0.03927 1771.5   450.0    0.66862  1698.78980
0.05327  0.11500  891.2    1323.5   0.13276  -0.03974 1773.5   450.0    0.66851  1701.68553
0.05333  0.11600  891.8    1325.4   0.13378  -0.04022 1775.4   450.0    0.66840  1704.52628
0.05340  0.11700  892.4    1327.3   0.13480  -0.04070 1777.3   450.0    0.66829  1707.31305
0.05346  0.11800  893.1    1329.2   0.13582  -0.04118 1779.2   450.0    0.66819  1710.04685
0.05352  0.11900  893.7    1331.0   0.13684  -0.04166 1781.0   450.0    0.66809  1712.72864
0.05358  0.12000  894.3    1332.8   0.13786  -0.04214 1782.8   450.0    0.66799  1715.35939
0.05364  0.12100  894.9    1334.6   0.13888  -0.04262 1784.6   450.0    0.66789  1717.94004
0.05370  0.12200  895.4    1336.3   0.13990  -0.04310 1786.3   450.0    0.66779  1720.47151
0.05375  0.12300  896.0    1338.0   0.14092  -0.04358 1788.0   450.0    0.66770  1722.95471
0.05381  0.12400  896.6    1339.7   0.14194  -0.04406 1789.7   450.0    0.66761  1725.39054
0.05386  0.12500  897.1    1341.3   0.14295  -0.04455 1791.3   450.0    0.66751  1727.77988
0.05392  0.12600  897.6    1342.9   0.14397  -0.04503 1792.9   450.0    0.66743  1730.12359
0.05397  0.12700  898.2    1344.5   0.14499  -0.04551 1794.5   450.0    0.66734  1732.42251
0.05402  0.12800  898.7    1346.0   0.14601  -0.04599 1796.0   450.0    0.66725  1734.67749
0.05407  0.12900  899.2    1347.5   0.14702  -0.04648 1797.5   450.0    0.66717  1736.88933
0.05412  0.13000  899.7    1349.0   0.14804  -0.04696 1799.0   450.0    0.66709  1739.05885
0.05417  0.13100  900.1    1350.4   0.14906  -0.04744 1800.4   450.0    0.66701  1741.18683
0.05421  0.13200  900.6    1351.8   0.15007  -0.04793 1801.8   450.0    0.66693  1743.27406
0.05426  0.13300  901.1    1353.2   0.15109  -0.04841 1803.2   450.0    0.66686  1745.32129
0.05430  0.13400  901.5    1354.6   0.15210  -0.04890 1804.6   450.0    0.66678  1747.32927
0.05435  0.13500  902.0    1355.9   0.15312  -0.04938 1805.9   450.0    0.66671  1749.29873
0.05439  0.13600  902.4    1357.3   0.15413  -0.04987 1807.3   450.0    0.66664  1751.23041
0.05443  0.13700  902.8    1358.5   0.15514  -0.05036 1808.5   450.0    0.66656  1753.12501
0.05448  0.13800  903.3    1359.8   0.15616  -0.05084 1809.8   450.0    0.66650  1754.98322
0.05452  0.13900  903.7    1361.0   0.15717  -0.05133 1811.0   450.0    0.66643  1756.80574
0.05456  0.14000  904.1    1362.3   0.15819  -0.05181 1812.3   450.0    0.66636  1758.59323
0.05459  0.14100  904.5    1363.5   0.15920  -0.05230 1813.5   450.0    0.66630  1760.34635
0.05463  0.14200  904.9    1364.6   0.16021  -0.05279 1814.6   450.0    0.66623  1762.06575
0.05467  0.14300  905.3    1365.8   0.16122  -0.05328 1815.8   450.0    0.66617  1763.75207
0.05471  0.14400  905.6    1366.9   0.16224  -0.05376 1816.9   450.0    0.66611  1765.40593
0.05474  0.14500  906.0    1368.0   0.16325  -0.05425 1818.0   450.0    0.66605  1767.02795
0.05478  0.14600  906.4    1369.1   0.16426  -0.05474 1819.1   450.0    0.66599  1768.61872
0.05481  0.14700  906.7    1370.1   0.16527  -0.05523 1820.1   450.0    0.66593  1770.17884
0.05485  0.14800  907.1    1371.2   0.16628  -0.05572 1821.2   450.0    0.66588  1771.70890
0.05488  0.14900  907.4    1372.2   0.16729  -0.05621 1822.2   450.0    0.66582  1773.20945
0.05491  0.15000  907.7    1373.2   0.16830  -0.05670 1823.2   450.0    0.66577  1774.68106
0.05494  0.15100  908.1    1374.2   0.16931  -0.05719 1824.2   450.0    0.66571  1776.12428
0.05498  0.15200  908.4    1375.1   0.17033  -0.05767 1825.1   450.0    0.66566  1777.53965
0.05501  0.15300  908.7    1376.1   0.17134  -0.05816 1826.1   450.0    0.66561  1778.92769
0.05504  0.15400  909.0    1377.0   0.17235  -0.05865 1827.0   450.0    0.66556  1780.28893
0.05507  0.15500  909.3    1377.9   0.17336  -0.05914 1827.9   450.0    0.66551  1781.62388
0.05509  0.15600  909.6    1378.8   0.17436  -0.05964 1828.8   450.0    0.66547  1782.93303
0.05512  0.15700  909.9    1379.7   0.17537  -0.06013 1829.7   450.0    0.66542  1784.21688
0.05515  0.15800  910.2    1380.5   0.17638  -0.06062 1830.5   450.0    0.66537  1785.47591
0.05518  0.15900  910.4    1381.3   0.17739  -0.06111 1831.3   450.0    0.66533  1786.71060
0.05520  0.16000  910.7    1382.2   0.17840  -0.06160 1832.2   450.0    0.66528  1787.92140
0.05523  0.16100  911.0    1383.0   0.17941  -0.06209 1833.0   450.0    0.66524  1789.10878
0.05526  0.16200  911.3    1383.8   0.18042  -0.06258 1833.8   450.0    0.66520  1790.27318
0.05528  0.16300  911.5    1384.5   0.18143  -0.06307 1834.5   450.0    0.66516  1791.41504
0.05530  0.16400  911.8    1385.3   0.18243  -0.06357 1835.3   450.0    0.66511  1792.53479
0.05533  0.16500  912.0    1386.0   0.18344  -0.06406 1836.0   450.0    0.66507  1793.63286
0.05535  0.16600  912.3    1386.8   0.18445  -0.06455 1836.8   450.0    0.66504  1794.70966
0.05538  0.16700  912.5    1387.5   0.18546  -0.06504 1837.5   450.0    0.66500  1795.76559
0.05540  0.16800  912.7    1388.2   0.18647  -0.06553 1838.2   450.0    0.66496  1796.80107
0.05542  0.16900  913.0    1388.9   0.18747  -0.06603 1838.9   450.0    0.66492  1797.81647
0.05544  0.17000  913.2    1389.5   0.18848  -0.06652 1839.5   450.0    0.66489  1798.81218
0.05546  0.17100  913.4    1390.2   0.18949  -0.06701 1840.2   450.0    0.66485  1799.78859
0.05548  0.17200  913.6    1390.8   0.19049  -0.06751 1840.8   450.0    0.66482  1800.74605
0.05550  0.17300  913.8    1391.5   0.19150  -0.06800 1841.5   450.0    0.66478  1801.68495
0.05552  0.17400  914.0    1392.1   0.19251  -0.06849 1842.1   450.0    0.66475  1802.60562
0.05554  0.17500  914.2    1392.7   0.19351  -0.06899 1842.7   450.0    0.66472  1803.50843
0.05556  0.17600  914.4    1393.3   0.19452  -0.06948 1843.3   450.0    0.66468  1804.39372
0.05558  0.17700  914.6    1393.9   0.19553  -0.06997 1843.9   450.0    0.66465  1805.26182
0.05560  0.17800  914.8    1394.5   0.19653  -0.07047 1844.5   450.0    0.66462  1806.11306
