# eps_a [-]	eps_v [-]
3.46945E-18	0
0.000814941	0.000893997
0.0017657	0.0014304
0.00203735	0.00223499
0.00325976	0.00303959
0.00475382	0.00455939
0.00651952	0.00625798
0.0086927	0.00822478
0.0101868	0.00992337
0.0118166	0.0114432
0.013854	0.01341
0.016163	0.0155556
0.0183362	0.0170754
0.0206452	0.0187739
0.02309	0.0207407
0.0255348	0.0222605
0.0281154	0.0236015
0.0304244	0.0253001
0.0327334	0.0269093
0.0353141	0.0279821
0.0378947	0.0293231
0.0410187	0.0309323
0.0444143	0.0324521
0.0474024	0.0339719
0.0510696	0.0353129
0.0541935	0.0366539
0.0574533	0.0379949
0.0641087	0.0404087
0.0677759	0.0413027
0.0711715	0.0425543
0.0747029	0.0431801
0.0780985	0.0443423
0.0819015	0.0449681
0.0854329	0.0458621
0.089236	0.0465773
0.0935823	0.0474713
0.0980645	0.0483653
0.102683	0.0489911
0.107301	0.0496169
0.111919	0.0501533
0.116537	0.0507791
0.121154	0.0514943
0.125908	0.0519413
0.130526	0.0523883
0.136095	0.0528352
0.1418	0.0532822
0.148183	0.053908
0.153888	0.0542656
