# eps_a [-]	eps_v [-]
3.46945E-18	0
0.000271647	0.00330779
0.000814941	0.00348659
0.00135823	0.00366539
0.00190153	0.00411239
0.00258065	0.00464879
0.00339559	0.00536398
0.00434635	0.00643678
0.00556876	0.00733078
0.00651952	0.00840358
0.00787776	0.00956577
0.00937182	0.0108174
0.0105942	0.0119796
0.0120883	0.0131418
0.013039	0.0136782
0.0137182	0.0144828
0.0148048	0.0150192
0.0157555	0.0160026
0.0164346	0.0163602
0.0173854	0.0168966
0.018472	0.0176117
0.0194228	0.0182375
0.0203735	0.0189527
0.0217317	0.0193997
0.0225467	0.0201149
0.0251273	0.0214559
0.0282513	0.0229757
0.0297453	0.0235121
0.0311036	0.0243167
0.0327334	0.0250319
0.0343633	0.0256577
0.036129	0.0264623
0.0381664	0.0272669
0.0403396	0.0282503
0.0426486	0.0288761
0.0450934	0.0295913
0.047674	0.0304853
0.0498472	0.0311111
0.0524278	0.0317369
0.0552801	0.0324521
0.05691	0.0328991
0.059219	0.0333461
0.0617997	0.0339719
0.064652	0.0344189
0.0672326	0.0349553
0.0704924	0.0354917
0.0740238	0.0359387
0.0775552	0.0363857
0.0817657	0.0368327
0.0857046	0.0371903
0.0901868	0.0377267
0.0948048	0.0379949
0.0994228	0.0382631
0.104177	0.0385313
0.109202	0.0387101
0.114228	0.0387995
0.119117	0.0389783
