# eps_a [-]	eps_v [-]
3.46945E-18	0
3.46945E-18	0.001341
0.000271647	0.0016986
0.000679117	0.00205619
0.00108659	0.00241379
0.00135823	0.00277139
0.00217317	0.00339719
0.00285229	0.00402299
0.00366723	0.00500639
0.00488964	0.00625798
0.00611205	0.00733078
0.00706282	0.00867178
0.00842105	0.00974457
0.00950764	0.0109068
0.0105942	0.012069
0.0118166	0.0131418
0.013039	0.014304
0.0141256	0.015198
0.015348	0.0162708
0.0165705	0.017433
0.0177929	0.0181481
0.0190153	0.0192209
0.0206452	0.0203831
0.022275	0.0218135
0.0236333	0.0226181
0.0252632	0.0238697
0.0270289	0.0249425
0.0286587	0.0261047
0.0302886	0.0271775
0.0321902	0.0281609
0.0339559	0.0291443
0.0357216	0.0301277
0.0376231	0.0309323
0.0393888	0.0320945
0.0416978	0.0329885
0.0434635	0.0340613
0.0457725	0.0352235
0.0482173	0.0361175
0.0505263	0.0370115
0.053107	0.0379055
0.055416	0.0389783
0.0578608	0.0398723
0.0601698	0.0407663
0.0627504	0.0416603
0.0651952	0.0423755
0.0677759	0.0430907
0.0702207	0.0437165
0.0728014	0.0443423
0.075382	0.0451469
0.0785059	0.0455939
0.0816299	0.0463091
0.0847538	0.0469349
0.0877419	0.0474713
0.0910017	0.0480971
0.0943973	0.0486335
0.0973854	0.0492593
0.100509	0.0497063
0.103905	0.0501533
0.107301	0.0506003
0.111104	0.0510473
0.114499	0.0514049
