# eps_a [-]	q [kPa]
0	0
0.000290645	47.5703
0.00101726	79.7954
0.00159855	113.555
0.00203451	138.107
0.0026158	154.987
0.00334242	168.798
0.00377838	181.074
0.00421435	191.816
0.00494096	199.488
0.00537693	211.765
0.00653951	225.575
0.00755677	242.455
0.00857402	259.335
0.0097366	273.146
0.0107539	286.957
0.0119164	300.767
0.013079	317.647
0.0146776	337.596
0.0164214	359.079
0.0181653	377.494
0.0197639	397.442
0.0215077	415.857
0.0232516	435.806
0.0249955	452.685
0.0267393	471.1
0.0284832	489.514
0.0302271	504.859
0.0321163	523.274
0.0340054	538.619
0.0357493	555.499
0.0376385	570.844
0.0395277	587.724
0.0415622	603.069
0.0434514	619.949
0.0453406	633.76
0.0479564	652.174
0.0504269	670.588
0.053188	689.003
0.0558038	708.951
0.0584196	724.297
0.0610354	742.711
0.0637965	761.125
0.0665577	778.005
0.0693188	790.281
0.0720799	805.627
0.0748411	820.972
0.0776022	836.317
0.0803633	850.128
0.0832698	863.939
0.0869028	880.818
0.0903906	894.629
0.0941689	913.043
0.097802	926.854
0.10158	939.13
0.105359	951.407
0.109137	965.217
0.113061	977.494
0.115241	983.632
0.119164	994.373
0.123815	1008.18
0.12861	1020.46
0.133987	1029.67
0.139655	1037.34
0.14445	1045.01
0.150263	1054.22
0.155059	1057.29
0.159855	1063.43
