# eps_a [-]	q [kPa]
0	0
0.000435967	35.2941
0.00101726	67.5192
0.00159855	82.8645
0.00203451	99.7442
0.00319709	118.159
0.00465032	139.642
0.00639419	158.056
0.0084287	181.074
0.0101726	197.954
0.0117711	214.834
0.013951	236.317
0.0161308	259.335
0.0184559	277.749
0.0207811	296.164
0.0231063	317.647
0.0254314	336.061
0.0279019	351.407
0.0303724	369.821
0.0326975	386.701
0.0353134	405.115
0.0379292	420.46
0.0411262	438.875
0.0443233	457.289
0.0476658	475.703
0.0508629	492.583
0.0542053	510.997
0.0575477	524.808
0.0608901	541.688
0.0642325	558.568
0.0678656	572.379
0.071208	584.655
0.0746957	596.931
0.0781835	610.742
0.0819619	624.552
0.0855949	636.829
0.089228	646.036
0.093733	661.381
0.0980926	670.588
0.102743	684.399
0.107393	693.606
0.112044	704.348
0.116694	713.555
0.121199	722.762
0.125995	730.435
0.130645	739.642
0.136167	747.315
0.141835	754.987
0.148229	761.125
0.154042	765.729
