# eps_a [-]	eps_v [-]
3.46945E-18	0
0.000135823	0.000804598
0.000814941	0.000983397
0.00149406	0.0010728
0.00203735	0.0015198
0.00258065	0.00205619
0.00325976	0.00232439
0.00380306	0.00286079
0.00421053	0.00357599
0.00488964	0.00375479
0.00543294	0.00438059
0.00651952	0.00536398
0.00760611	0.00643678
0.00855688	0.00759898
0.00977929	0.00849298
0.0108659	0.00938697
0.0118166	0.0105492
0.013039	0.0114432
0.0146689	0.012963
0.0164346	0.0142146
0.0180645	0.0154662
0.0198302	0.0168966
0.0214601	0.0183269
0.0232258	0.0195785
0.0249915	0.0207407
0.0266214	0.0219923
0.0283871	0.0232439
0.0301528	0.0244955
0.0320543	0.0253895
0.0339559	0.0264623
0.0357216	0.0276245
0.0376231	0.0287867
0.0393888	0.0298595
0.0414261	0.0305747
0.0433277	0.0315581
0.045365	0.0326309
0.0479457	0.0337037
0.0503905	0.0350447
0.053107	0.0361175
0.0558234	0.0371009
0.0584041	0.0381737
0.0609847	0.0393359
0.063837	0.0400511
0.0664177	0.0412133
0.0692699	0.0419285
0.0719864	0.0428225
0.0747029	0.0438953
0.0775552	0.0445211
0.0802716	0.0454151
0.0832598	0.0460409
0.0867912	0.0469349
0.0903226	0.0479183
0.0941256	0.0485441
0.0977929	0.0492593
0.10146	0.0500639
0.105263	0.0506897
0.109066	0.0513155
0.112869	0.0517625
0.115178	0.0522989
0.118981	0.0528352
0.123735	0.0535504
0.128489	0.0536398
0.133922	0.0546232
0.139626	0.054802
0.14438	0.055249
0.150085	0.0555172
0.154975	0.0559642
0.159728	0.05659
