# eps_a [-]	q [kPa]
0	0
0.000871935	21.4834
0.0013079	33.7596
0.00174387	44.5013
0.0026158	56.7775
0.00334242	72.1228
0.00435967	89.0026
0.00508629	99.7442
0.00653951	116.624
0.00799273	128.9
0.00959128	141.176
0.0104632	147.315
0.0117711	161.125
0.0136603	171.867
0.0152589	185.678
0.0167121	193.35
0.0184559	205.627
0.0200545	216.368
0.0217984	227.11
0.0232516	237.852
0.0249955	248.593
0.0268847	259.335
0.0287738	270.077
0.030663	279.284
0.0332788	291.56
0.03604	303.836
0.0386558	317.647
0.0409809	328.389
0.044178	340.665
0.0472298	352.941
0.0502816	366.752
0.0565304	386.701
0.0608901	398.977
0.0658311	414.322
0.0703361	425.064
0.0748411	435.806
0.0792007	448.082
0.083851	455.754
0.0885014	466.496
0.0931517	474.169
0.0967847	477.238
0.101435	481.841
0.104342	487.98
0.108701	491.049
0.113497	495.652
0.116549	500.256
0.120763	503.325
0.124977	507.928
0.129337	512.532
0.13297	517.136
0.136167	517.136
0.139946	518.67
0.14445	523.274
0.148374	526.343
0.151426	527.877
