# eps_a [-]	q [kPa]
0	0
0	23.0179
0.000290645	42.9668
0.000726612	55.243
0.0013079	67.5192
0.00159855	81.3299
0.00232516	95.1407
0.00319709	107.417
0.00392371	121.228
0.00494096	135.038
0.00610354	150.384
0.00726612	165.729
0.0084287	178.005
0.00959128	193.35
0.0106085	208.696
0.0119164	217.903
0.013079	231.714
0.0142416	243.99
0.0154042	256.266
0.0165668	267.008
0.0178747	279.284
0.0190372	290.026
0.0207811	306.905
0.0223797	317.647
0.0235422	329.923
0.0252861	342.199
0.02703	354.476
0.0286285	371.355
0.0303724	382.097
0.0321163	395.908
0.0340054	406.65
0.0357493	417.391
0.0376385	428.133
0.0393824	441.944
0.0417075	452.685
0.0435967	464.962
0.0459219	478.772
0.048247	489.514
0.0507175	503.325
0.053188	515.601
0.0555132	524.808
0.0578383	535.55
0.0603088	546.292
0.0627793	560.102
0.0652498	569.309
0.0677203	578.517
0.0703361	586.189
0.0728065	595.396
0.0754223	603.069
0.0786194	612.276
0.0816712	624.552
0.0848683	632.225
0.0879201	639.898
0.0911172	647.57
0.0943143	653.708
0.0975114	658.312
0.100708	665.985
0.104051	673.657
0.107393	678.261
0.111172	684.399
0.114514	689.003
